timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
05:00:00;156;315.83;61;67.7;112.75;263.5;455.75;764.9;1022
05:30:00;204;353.05;61;74.25;127.5;287.5;546;879.75;1190
06:00:00;331;488.93;61;87.6;208;424;727;1089.4;1200
06:30:00;717;631.5;3;123.7;343;616;922;1157;1203
07:00:00;775;666.9;6;126.2;366;696;969;1154.8;1262
07:30:00;705;603.56;11;97;314.5;590;889;1138;1203
08:00:00;572;577.64;11;82.65;291;573;854;1115.35;1216
08:30:00;287;541.99;12;63.4;220;483;836;1150.6;1192
09:00:00;185;506.54;58;114.9;230.5;418;787.5;1095.6;1188
09:30:00;180;532.3;61;117;250.5;498.5;785.5;1086.15;1178
10:00:00;198;522.92;61;110.7;261.5;504.5;771.5;1071.35;1184
10:30:00;208;536.95;61;73.35;268.25;501;821;1096.45;1200
11:00:00;248;569.18;61;80.9;256.25;516.5;862.75;1117;1229
11:30:00;195;555.54;61;85.8;284;501;818;1129;1188
12:00:00;232;569.28;61;77.65;247;522.5;885.5;1111.35;1169
12:30:00;102;366.73;51;61.45;116.75;285;526.25;1055.55;1149
13:00:00;116;294.89;61;61;99.25;197.5;442.75;815.9;995
13:30:00;138;315.05;61;76.5;146.5;252;456.25;722.1;1110
14:00:00;226;419.88;53;78.4;183.25;374.5;585.75;1000.6;1264
14:30:00;492;513.85;1;65.55;220.25;465.5;788.5;1089;1207
15:00:00;658;610.05;1;63.85;302.5;616.5;898;1151.2;1210
15:30:00;713;624.96;3;89;318;619;936;1161;1260
16:00:00;711;601.07;4;85.2;314;590;893;1135.8;1203
16:30:00;523;562.63;2;61;262;518;881;1132.4;1199
17:00:00;330;527.33;3;61;207;477.5;817.75;1100.9;1197
17:30:00;187;446.33;22;61;217;427;612;1070.6;1169
18:00:00;167;460.58;13;60.4;211;424;684;1029.2;1136
18:30:00;132;482.22;17;61.3;267;432.5;676.75;1068.85;1178
19:00:00;98;503.47;47;117.8;308;466.5;707.5;1011.7;1127
19:30:00;66;438;99;159.8;259.5;406;596.25;829.1;1041
20:00:00;54;551.87;104;160;351.75;523.5;715.5;1104;1153
20:30:00;46;517.89;126;206.85;336.75;511;625.5;1023.15;1164
21:00:00;26;446;69;111.35;314.75;350;598.25;913.85;924
21:30:00;13;409.46;157;157;230.5;298;630;860;860
22:00:00;9;506.67;211;211;265;406;825;1008;1008